2019-05-08 14:05:38:073[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/product/getProductById],methods=[GET]}" onto public com.sarnath.sshop.entity.vo.ResultVO com.sarnath.sshop.controller.ProductController.getProductById(java.lang.Integer)
2019-05-08 14:05:38:074[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/admin/add],methods=[POST]}" onto public com.sarnath.sshop.entity.vo.ResultVO<java.util.Map<java.lang.String, java.lang.Integer>> com.sarnath.sshop.controller.SysAdminController.add(com.sarnath.sshop.entity.form.MSysAdminForm)
2019-05-08 14:05:38:075[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/user/register],methods=[POST]}" onto public com.sarnath.sshop.entity.vo.ResultVO<java.util.Map<java.lang.String, java.lang.Integer>> com.sarnath.sshop.controller.UserController.register(com.sarnath.sshop.entity.form.UserForm,org.springframework.validation.BindingResult)
2019-05-08 14:05:38:076[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/user/registCheck],methods=[POST]}" onto public com.sarnath.sshop.entity.vo.ResultVO<java.util.Map<java.lang.String, java.lang.String>> com.sarnath.sshop.controller.UserController.checkName(java.lang.String)
2019-05-08 14:05:38:076[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/user/session],methods=[POST]}" onto public com.sarnath.sshop.entity.vo.ResultVO<java.util.Map<java.lang.String, java.lang.Integer>> com.sarnath.sshop.controller.UserController.session(javax.servlet.http.HttpServletRequest)
2019-05-08 14:05:38:076[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/user/login],methods=[POST]}" onto public com.sarnath.sshop.entity.vo.ResultVO<com.sarnath.sshop.entity.UserEntity> com.sarnath.sshop.controller.UserController.login(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest)
2019-05-08 14:05:38:078[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-05-08 14:05:38:079[restartedMain]INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping-Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-05-08 14:05:38:100[restartedMain]INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping-Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-05-08 14:05:38:100[restartedMain]INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping-Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
